ID,Title,Status,Date,Link,Category,Project,Gem Status,Action Item
953,Strategy: Documentation Roadmap &#038; Status,publish,2025-11-29,https://sugartown.io/gem/strategy-documentation-roadmap-status/,ProductOps,Sugartown.io v2,Active,Draft User Workflow MD
977,Meta-Analysis: Am I Crazy for Building This?,publish,2025-11-29,https://sugartown.io/gem/meta-analysis-am-i-crazy-for-building-this/,Personal Reflection,Sugartown.io v2,Done,Go eat leftover turkey
954,Market Scan: Top AI Tools for Data &#038; Architecture Diagrams,publish,2025-11-28,https://sugartown.io/gem/market-scan-top-ai-tools-for-data-architecture-diagrams/,Market Research,Sugartown.io v2,Draft,Create System Diagram in Eraser.io
952,"Confession: I Don&#8217;t Hate Blogs, I Just Hate Unstructured Data",publish,2025-11-28,https://sugartown.io/gem/confession-i-dont-hate-blogs-i-just-hate-unstructured-data/,Content Strategy,Sugartown.io v2,Active,Make peace with the blog
950,Data Science: Visualizing the Knowledge Graph,publish,2025-11-28,https://sugartown.io/gem/data-science-visualizing-the-knowledge-graph/,Data Science,Sugartown.io v2,Draft,Render Graph on Frontend
949,Architecture Decision: The &#8220;Overwrite&#8221; Risk in Sugartown CMS,publish,2025-11-28,https://sugartown.io/gem/architecture-decision-the-overwrite-risk-in-sugartown-cms/,HeadlessCMS,Sugartown.io v2,Backlog,Research Python Diff Libraries
946,Project: Sugartown CMS Architecture,publish,2025-11-28,https://sugartown.io/gem/project-sugartown-cms-architecture/,ProductOps,Sugartown.io v2,Active,Refine Taxonomy Visualization
942,Process Insight: The CSV Reality Check,publish,2025-11-28,https://sugartown.io/gem/process-insight-the-csv-reality-check/,ProductOps,Sugartown.io v2,Active,Schedule Monthly CSV Audit
863,Sweet Upgrades: Why Gemini 3 is the Cherry on Top,publish,2025-11-26,https://sugartown.io/gem/sweet-upgrades-why-gemini-3-is-the-cherry-on-top/,AI Strategy,Tech Stack Eval,Done,Stick to Personal Premium
853,Engineering the Perfect Resume Workflow,publish,2025-11-26,https://sugartown.io/gem/engineering-the-perfect-resume-workflow/,Career Engineering,Job Hunt 2026,In Progress,Refine XML Prompt
852,Market Scan: Top Headless CMS Platforms (2025),publish,2025-11-26,https://sugartown.io/gem/market-scan-top-headless-cms-platforms-2025/,Market Research,2026 Strategy,Active,Update Tech Radar Slide
